Species,body_gm,brain_gm
Newborn_Human,3200,375.0
Adult_Human,73000,1350.0
Pithecanthropus_Man,70000,925.0
Squirrel,800,7.6
Hamster,150,1.4
Chimpanzee,50000,420.0
Rabbit,1400,11.5
Dog_(Beagle),10000,72.0
Cat,4500,30.0
Rat,400,2.0
Bottle-Nosed_Dolphin,400000,1500.0
Beaver,24000,45.0
Gorilla,320000,502.5
Tiger,170000,263.5
Owl,1500,2.2
Camel,550000,762.0
Elephant,4600000,6000.0
Lion,187000,240.0
Sheep,120000,140.0
Walrus,800000,925.0
Horse,450000,502.5
Cow,700000,441.5
Giraffe,950000,532.0
Green_Lizard,200,0.1
Sperm_Whale,35000000,7800.0
Turtle,3000,0.3
Alligator,270000,8.4